,city_trgt_label_enc,Age_bucket_label_enc,sex_label_enc,social_class_label_enc,primary_busn_label_enc,secondary_business_label_enc,annual_income_bucket_label_enc,monthly_expenses_bucket_label_enc,old_dependents,young_dependents,home_ownership,type_of_house_label_enc,occupants_count,house_area_bucket_label_enc,sanitary_availability,water_availabity,loan_purpose_label_enc,loan_tenure_bucket_label_enc,loan_installments_bucket_label_enc
19746,14,1,0,2,20,0,3,1,0,2,1.0,3,2,2,1.0,1.0,10,0,0
34066,14,1,0,3,6,0,4,1,1,0,1.0,1,4,2,0.0,1.0,2,0,0
16543,11,1,0,1,13,4,1,1,0,2,1.0,2,4,1,0.0,1.0,21,0,0
7981,11,1,0,4,13,0,0,1,0,0,1.0,2,0,0,0.0,0.0,21,0,1
4886,11,1,0,0,20,0,1,1,0,2,0.0,2,4,1,1.0,0.5,7,0,0
1103,11,1,0,0,20,4,1,1,0,0,1.0,3,2,1,1.0,0.5,1,0,0
20705,11,1,0,4,6,4,2,1,0,3,1.0,2,1,1,0.0,0.5,2,0,0
26942,3,1,0,1,18,0,4,1,0,0,1.0,1,1,2,1.0,1.0,2,0,0
18263,5,1,0,3,20,0,3,1,0,0,1.0,3,4,2,1.0,1.0,28,0,0
963,10,0,0,3,27,0,3,1,0,1,1.0,2,2,1,1.0,0.5,3,0,0
36423,14,1,0,3,9,0,4,1,0,2,1.0,3,3,2,1.0,1.0,13,0,0
36381,1,1,0,1,29,0,3,1,0,1,1.0,3,2,1,0.0,0.5,14,0,0
20374,17,1,0,1,20,2,4,1,0,1,1.0,2,3,2,1.0,1.0,21,0,0
20599,5,1,0,3,32,0,2,0,0,2,1.0,3,5,2,1.0,0.5,3,0,0
11936,11,1,0,4,27,0,0,1,0,0,1.0,3,0,0,0.0,0.0,3,0,0
33733,20,1,0,2,27,2,4,1,0,1,1.0,2,3,1,1.0,1.0,3,0,0
278,11,0,1,3,20,0,2,0,0,1,1.0,3,3,1,1.0,0.5,12,0,0
28440,11,1,0,1,20,0,4,1,0,0,1.0,2,4,1,1.0,0.5,1,0,1
20025,7,0,0,3,27,0,4,1,0,0,1.0,2,2,1,1.0,1.0,3,0,1
26199,1,1,0,3,6,0,3,0,0,2,1.0,3,2,1,0.0,0.5,2,0,0
29418,11,1,0,1,27,2,2,1,2,1,1.0,2,5,1,0.0,0.5,3,0,0
36011,17,1,0,1,20,2,4,1,0,1,1.0,2,3,2,1.0,1.0,21,0,0
19504,18,0,0,1,15,0,2,1,0,0,1.0,2,2,2,1.0,1.0,17,0,1
8082,11,1,0,4,14,0,0,1,0,0,1.0,1,0,0,0.0,0.0,1,0,1
10592,11,1,0,4,20,0,0,1,0,0,1.0,1,0,0,0.0,0.0,17,0,0
3542,11,1,1,0,30,0,3,1,0,3,0.0,1,5,1,1.0,0.5,1,0,0
2711,6,1,0,0,27,0,2,1,1,0,1.0,2,3,1,1.0,0.5,3,0,1
35645,3,1,0,1,27,0,5,1,0,5,1.0,1,7,1,1.0,1.0,3,0,0
15585,12,1,1,3,20,0,3,0,0,3,1.0,3,1,2,0.0,1.0,5,0,0
37785,11,1,0,2,9,0,5,1,0,1,0.0,3,3,1,1.0,1.0,13,0,0
23729,1,0,0,3,6,0,3,1,0,0,1.0,3,2,1,0.0,0.5,2,0,0
20416,11,1,0,1,20,0,1,1,0,1,1.0,1,3,2,1.0,0.5,6,0,1
4733,11,1,1,1,20,2,2,0,0,1,1.0,3,1,2,1.0,0.5,6,0,1
1772,11,1,0,3,26,0,0,1,0,2,1.0,2,4,1,1.0,0.5,13,0,0
28488,14,1,0,3,20,0,2,0,0,0,1.0,1,4,2,1.0,1.0,31,0,0
4436,9,1,0,3,20,4,4,1,0,0,1.0,3,3,1,1.0,0.5,21,0,1
450,8,0,0,0,20,0,3,1,0,2,1.0,2,4,1,1.0,0.5,28,0,1
17394,11,1,0,3,27,0,4,1,0,1,0.0,2,2,1,1.0,1.0,3,0,0
28096,11,1,0,1,20,0,1,1,0,0,1.0,2,2,1,1.0,0.5,7,0,1
4102,11,1,0,0,12,0,5,1,0,1,1.0,1,2,1,1.0,0.5,28,0,1
8376,11,0,0,4,32,0,0,1,0,0,0.0,3,0,0,0.0,0.0,3,0,1
23129,5,1,0,3,20,0,2,0,2,0,1.0,3,4,2,1.0,1.0,7,0,0
34588,14,1,0,1,20,0,4,1,0,0,1.0,3,2,1,1.0,1.0,10,0,0
1281,11,1,0,3,18,1,2,0,0,0,1.0,3,3,1,1.0,0.5,2,0,0
4047,11,1,0,3,18,0,2,1,0,2,1.0,3,2,1,1.0,0.5,2,0,0
12076,11,1,0,4,27,0,0,1,0,0,1.0,2,0,0,0.0,0.0,3,0,0
16593,12,0,0,3,4,0,3,1,0,2,1.0,3,1,2,0.0,1.0,14,0,1
5724,14,1,0,0,10,0,2,1,0,2,0.0,1,4,1,1.0,0.5,17,0,0
5975,14,1,0,1,30,0,3,1,0,0,1.0,3,1,1,1.0,0.5,1,0,0
32689,14,1,0,3,20,0,4,1,0,0,1.0,1,3,2,1.0,1.0,31,0,0
23861,11,1,0,0,20,0,4,1,0,0,1.0,1,3,2,1.0,1.0,9,0,1
12791,11,1,0,4,27,0,0,1,0,0,1.0,3,0,0,0.0,0.0,3,0,0
9821,11,1,0,4,20,0,0,1,0,0,1.0,1,0,0,0.0,0.0,7,0,1
23067,18,1,0,0,20,0,4,1,0,1,1.0,2,3,2,1.0,1.0,1,0,1
35301,11,0,0,1,18,0,4,1,0,1,1.0,3,3,1,0.0,0.5,2,0,0
30930,5,1,0,3,10,0,3,0,0,3,1.0,3,5,2,1.0,1.0,17,0,0
27658,5,1,0,1,32,0,3,0,0,2,1.0,3,3,2,1.0,0.5,3,0,0
38037,14,1,0,1,9,0,5,1,0,4,1.0,1,6,1,1.0,1.0,13,0,0
2177,6,1,0,0,0,0,0,1,0,1,1.0,2,4,1,1.0,0.5,13,0,0
10921,10,1,0,4,29,0,0,1,0,0,1.0,0,0,0,1.0,0.0,14,0,0
17594,9,1,0,3,30,1,4,1,0,0,1.0,1,4,1,1.0,1.0,1,0,1
14193,13,1,0,0,0,0,2,1,0,1,1.0,1,4,2,0.0,1.0,13,0,0
34181,14,1,0,3,27,0,4,1,0,2,1.0,3,3,2,1.0,1.0,3,0,0
12201,11,1,0,4,18,0,0,1,0,0,1.0,3,0,0,0.0,0.0,2,0,0
32422,3,1,0,1,20,0,3,1,0,0,1.0,1,1,1,1.0,1.0,28,0,0
9635,11,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,9,0,0
2303,11,1,0,1,26,0,0,1,0,1,1.0,3,3,1,1.0,0.5,13,0,0
18318,18,1,0,1,20,0,2,1,0,0,1.0,1,2,1,1.0,1.0,7,0,1
19161,18,0,0,1,15,0,2,1,0,0,1.0,2,2,2,1.0,1.0,17,0,1
39036,11,1,0,3,20,4,4,1,1,0,1.0,2,3,1,1.0,1.0,14,0,0
11764,11,1,0,4,27,0,0,1,0,0,1.0,1,0,0,0.0,0.0,3,0,1
2979,11,1,1,3,20,0,1,1,0,2,1.0,1,4,2,1.0,0.5,1,0,0
4627,11,1,0,0,20,2,4,1,0,0,1.0,2,3,1,1.0,0.5,17,0,1
7660,14,0,0,4,6,0,0,0,0,0,1.0,0,0,0,0.0,0.0,2,0,0
27957,14,1,0,3,20,0,3,1,0,2,1.0,3,2,2,1.0,1.0,28,0,0
15325,12,1,0,4,13,0,3,0,0,1,1.0,3,1,1,0.0,0.5,21,0,1
35630,11,1,0,0,27,4,4,0,0,2,1.0,3,4,1,0.0,1.0,3,0,0
32555,5,1,1,3,29,0,3,0,0,2,1.0,3,4,2,1.0,1.0,14,0,0
17235,18,1,0,0,15,0,2,1,0,0,1.0,2,4,2,1.0,1.0,17,0,1
12446,11,1,0,4,27,0,0,1,0,0,1.0,3,0,0,0.0,0.0,3,0,0
4668,11,1,0,3,20,1,2,1,0,1,1.0,2,4,2,1.0,0.5,31,0,0
15055,14,1,0,4,26,0,4,1,0,1,1.0,3,2,1,1.0,1.0,13,0,0
