product,date,city,sales
Steam Iron,02-01-2016,Mumbai,811904
Steam Iron,03-01-2016,Mumbai,1516644
Steam Iron,04-01-2016,Mumbai,1187626
Steam Iron,05-01-2016,Mumbai,727769
Steam Iron,06-01-2016,Mumbai,410586
Steam Iron,07-01-2016,Mumbai,770839
Steam Iron,08-01-2016,Mumbai,830726
Steam Iron,09-01-2016,Mumbai,1058321
Steam Iron,10-01-2016,Mumbai,1077175
Steam Iron,11-01-2016,Mumbai,454856
Steam Iron,12-01-2016,Mumbai,601712
Steam Iron,01-01-2017,Mumbai,812847
Steam Iron,02-01-2017,Mumbai,752991
Steam Iron,03-01-2017,Mumbai,1172070
Steam Iron,04-01-2017,Mumbai,730680
Steam Iron,05-01-2017,Mumbai,1331748
Steam Iron,06-01-2017,Mumbai,1678719
Steam Iron,07-01-2017,Mumbai,2062534
Steam Iron,08-01-2017,Mumbai,1635874
Steam Iron,09-01-2017,Mumbai,2363514
Steam Iron,10-01-2017,Mumbai,2341632
Steam Iron,11-01-2017,Mumbai,650167
Steam Iron,12-01-2017,Mumbai,1468291
Steam Iron,01-01-2018,Mumbai,1359409
Steam Iron,02-01-2018,Mumbai,868654
Steam Iron,03-01-2018,Mumbai,1296810
SECF,04-01-2014,Mumbai,282973
SECF,05-01-2014,Mumbai,408152
SECF,06-01-2014,Mumbai,309726
SECF,07-01-2014,Mumbai,391159
SECF,08-01-2014,Mumbai,415166
SECF,09-01-2014,Mumbai,493951
SECF,10-01-2014,Mumbai,457478
SECF,11-01-2014,Mumbai,230735
SECF,12-01-2014,Mumbai,436378
SECF,01-01-2015,Mumbai,427092
SECF,02-01-2015,Mumbai,346080
SECF,03-01-2015,Mumbai,532689
SECF,04-01-2015,Mumbai,561833
SECF,05-01-2015,Mumbai,670446
SECF,06-01-2015,Mumbai,374832
SECF,07-01-2015,Mumbai,610212
SECF,08-01-2015,Mumbai,574757
SECF,09-01-2015,Mumbai,589681
SECF,10-01-2015,Mumbai,839608
SECF,11-01-2015,Mumbai,455379
SECF,12-01-2015,Mumbai,666553
SECF,01-01-2016,Mumbai,500452
SECF,02-01-2016,Mumbai,506352
SECF,03-01-2016,Mumbai,945869
SECF,04-01-2016,Mumbai,1241004
SECF,05-01-2016,Mumbai,760479
SECF,06-01-2016,Mumbai,429040
SECF,07-01-2016,Mumbai,805484
SECF,08-01-2016,Mumbai,868064
SECF,09-01-2016,Mumbai,1105888
SECF,10-01-2016,Mumbai,1125589
SECF,11-01-2016,Mumbai,475300
SECF,12-01-2016,Mumbai,628757
SECF,01-01-2017,Mumbai,849381
SECF,02-01-2017,Mumbai,786835
SECF,03-01-2017,Mumbai,1224750
SECF,04-01-2017,Mumbai,1611001
SECF,05-01-2017,Mumbai,2730731
SECF,06-01-2017,Mumbai,302116
SECF,07-01-2017,Mumbai,367828
SECF,08-01-2017,Mumbai,577405
SECF,09-01-2017,Mumbai,834740
SECF,10-01-2017,Mumbai,696421
SECF,11-01-2017,Mumbai,279779
SECF,12-01-2017,Mumbai,357128
SECF,01-01-2018,Mumbai,369650
SECF,02-01-2018,Mumbai,1510961
SECF,03-01-2018,Mumbai,1731985
Mixers,04-01-2014,Kolkata,2751118
Mixers,05-01-2014,Kolkata,3968132
Mixers,06-01-2014,Kolkata,3011215
Mixers,07-01-2014,Kolkata,3802924
Mixers,08-01-2014,Kolkata,4036329
Mixers,09-01-2014,Kolkata,4802291
Mixers,10-01-2014,Kolkata,4447694
Mixers,11-01-2014,Kolkata,2243252
Mixers,12-01-2014,Kolkata,4242558
Mixers,01-01-2015,Kolkata,4152277
Mixers,02-01-2015,Kolkata,3364662
Mixers,03-01-2015,Kolkata,5178911
Mixers,04-01-2015,Kolkata,5063500
Mixers,05-01-2015,Kolkata,6042370
Mixers,06-01-2015,Kolkata,3378160
Mixers,07-01-2015,Kolkata,5499516
Mixers,08-01-2015,Kolkata,5179979
Mixers,09-01-2015,Kolkata,5314480
Mixers,10-01-2015,Kolkata,7566933
Mixers,11-01-2015,Kolkata,4104088
Mixers,12-01-2015,Kolkata,6007280
