Country,Year,Life Ladder,Log GDP,Social support,Life Expectancy,Choice Freedom,Generosity,Corruption,Positive affect,Negative affect,Government confidence,Population
Ghana,2018,5.003693103790283,8.578335762023926,0.7607167959213257,57.625,0.8166804909706116,0.06003665179014206,0.8463284969329834,0.7158196568489075,0.2500012516975403,0.6230601668357849,29767108
Ghana,2019,4.9668097496032715,8.619757652282715,0.7462478280067444,58.0,0.7874477505683899,0.11377111822366714,0.856665849685669,0.6446554064750671,0.2699401080608368,0.5780768394470215,30417858
Greece,2015,5.622519016265869,10.249216079711914,0.8348246812820435,70.4000015258789,0.5317363142967224,-0.2733379006385803,0.8239596486091614,0.6365904211997986,0.2774125337600708,0.43731892108917236,10820883
Greece,2016,5.302619457244873,10.248492240905762,0.8026058673858643,70.5250015258789,0.4816168546676636,-0.2613065838813782,0.8984708189964294,0.5938278436660767,0.3362075090408325,0.13248655200004578,10775971
Greece,2017,5.1482415199279785,10.261331558227539,0.7528995275497437,70.6500015258789,0.4383000135421753,-0.29092147946357727,0.8722394704818726,0.5159084796905518,0.3328307569026947,0.13988089561462402,10754679
Greece,2018,5.409289360046387,10.2799072265625,0.7935007810592651,70.7750015258789,0.5644556879997253,-0.33573922514915466,0.8603023886680603,0.5636278390884399,0.2550065815448761,0.15704865753650665,10732882
Greece,2019,5.952157497406006,10.298835754394531,0.8908095359802246,70.9000015258789,0.6135841012001038,-0.28931304812431335,0.8480038046836853,0.5597583651542664,0.23594646155834198,0.39642462134361267,10721582
Guatemala,2015,6.464986801147461,9.002781867980957,0.8228374719619751,61.5,0.8686397671699524,0.050409480929374695,0.8216549158096313,0.8261231184005737,0.31055378913879395,0.2723808288574219,15567419
Guatemala,2016,6.358916282653809,9.012626647949219,0.8112354874610901,61.70000076293945,0.8626757264137268,0.01056570466607809,0.812030017375946,0.8154767155647278,0.32135719060897827,0.4689621925354004,15827690
Guatemala,2017,6.325118541717529,9.026683807373047,0.8264920711517334,61.900001525878906,0.9145216941833496,-0.05948002263903618,0.799747884273529,0.8188397884368896,0.3080861568450928,0.45862385630607605,16087418
Guatemala,2018,6.626591682434082,9.043360710144043,0.8411072492599487,62.099998474121094,0.9095380306243896,-0.011102871969342232,0.7654544115066528,0.8274214267730713,0.2624112665653229,0.4570644199848175,16346950
